IdHotelu;Nazwa;Adres;StandardHotelu;ZakresWyzywienia;LiczbaPokoi2;LiczbaPokoi3;LiczbaPokoi4;Udogodnienie
56;Hotel_Lisbon_56;Ul. Centralna 290, Lisbon, Portugal;3;bez wyzywienia;146;12;12;Calodobowa recepcja
57;Hotel_Lisbon_57;Ul. Glowna 277, Lisbon, Portugal;3;polpension;24;42;26;Centrum biznesowe / sala konferencyjna
58;Hotel_Lisbon_58;Ul. Glowna 56, Lisbon, Portugal;4;sniadania;119;40;3;Sejf w pokoju lub w recepcji
59;Hotel_Porto_59;Ul. Przykladowa 68, Porto, Portugal;4;polpension;194;11;20;Calodobowa recepcja
60;Hotel_Porto_60;Ul. Plazowa 76, Porto, Portugal;3;sniadania;176;20;21;Sejf w pokoju lub w recepcji
61;Hotel_Porto_61;Ul. Centralna 135, Porto, Portugal;3;bez wyzywienia;84;0;9;Usluga pralni i prasowania
62;Hotel_Porto_62;Ul. Plazowa 231, Porto, Portugal;4;sniadania;126;30;7;Centrum biznesowe / sala konferencyjna
63;Hotel_Dubrovnik_63;Ul. Przykladowa 90, Dubrovnik, Croatia;4;polpension;197;4;28;Centrum biznesowe / sala konferencyjna
64;Hotel_Dubrovnik_64;Ul. Centralna 107, Dubrovnik, Croatia;3;polpension;169;0;26;Calodobowa recepcja
65;Hotel_Split_65;Ul. Glowna 31, Split, Croatia;3;pelne wyzywienie;8;30;19;Centrum biznesowe / sala konferencyjna
66;Hotel_Split_66;Ul. Kwiatowa 174, Split, Croatia;4;sniadania;8;41;13;Calodobowa recepcja
67;Hotel_Split_67;Ul. Przykladowa 228, Split, Croatia;2;sniadania;103;9;14;Transfer z/na lotnisko
68;Hotel_Sofia_68;Ul. Kwiatowa 269, Sofia, Bulgaria;3;polpension;110;9;13;Przechowalnia bagazu
69;Hotel_Sofia_69;Ul. Kwiatowa 200, Sofia, Bulgaria;2;bez wyzywienia;93;7;30;Mini bar lub lodowka
70;Hotel_Sofia_70;Ul. Przykladowa 62, Sofia, Bulgaria;4;sniadania;139;12;0;Calodobowa recepcja
71;Hotel_Sofia_71;Ul. Plazowa 166, Sofia, Bulgaria;1;bez wyzywienia;171;11;7;Obsluga pokojowa (room service)
72;Hotel_Sofia_72;Ul. Plazowa 13, Sofia, Bulgaria;3;polpension;102;14;28;Calodobowa recepcja
73;Hotel_Burgas_73;Ul. Plazowa 7, Burgas, Bulgaria;3;bez wyzywienia;112;32;10;Centrum biznesowe / sala konferencyjna
74;Hotel_Burgas_74;Ul. Plazowa 216, Burgas, Bulgaria;3;bez wyzywienia;18;11;20;Calodobowa recepcja
75;Hotel_Burgas_75;Ul. Przykladowa 227, Burgas, Bulgaria;3;sniadania;123;42;17;Calodobowa recepcja
76;Hotel_Berlin_76;Ul. Plazowa 68, Berlin, Germany;2;sniadania;47;9;14;Centrum biznesowe / sala konferencyjna
77;Hotel_Berlin_77;Ul. Plazowa 15, Berlin, Germany;1;bez wyzywienia;88;21;13;Udogodnienia dla osob niepelnosprawnych
78;Hotel_Berlin_78;Ul. Centralna 251, Berlin, Germany;3;pelne wyzywienie;113;5;5;Spa i strefa wellness
79;Hotel_Berlin_79;Ul. Plazowa 247, Berlin, Germany;5;sniadania;91;17;17;Transfer z/na lotnisko
80;Hotel_Berlin_80;Ul. Plazowa 178, Berlin, Germany;1;pelne wyzywienie;181;34;11;Silownia / centrum fitness
81;Hotel_Munich_81;Ul. Glowna 53, Munich, Germany;4;bez wyzywienia;122;50;30;Czajnik, kawa i herbata w pokoju
82;Hotel_Munich_82;Ul. Centralna 105, Munich, Germany;4;polpension;95;29;10;Telewizor z serwisami streamingowymi
83;Hotel_Munich_83;Ul. Plazowa 269, Munich, Germany;3;sniadania;187;22;23;Czajnik, kawa i herbata w pokoju
84;Hotel_Munich_84;Ul. Glowna 125, Munich, Germany;4;polpension;100;37;27;Bezplatne Wi-Fi
85;Hotel_Hamburg_85;Ul. Glowna 149, Hamburg, Germany;4;polpension;56;44;27;Transfer z/na lotnisko
86;Hotel_Hamburg_86;Ul. Przykladowa 175, Hamburg, Germany;4;polpension;54;29;28;Bezplatne Wi-Fi
87;Hotel_Hamburg_87;Ul. Kwiatowa 118, Hamburg, Germany;5;polpension;118;47;5;Klimatyzacja w pokojach
88;Hotel_Amsterdam_88;Ul. Kwiatowa 70, Amsterdam, Netherlands;4;pelne wyzywienie;162;14;10;Bezplatne Wi-Fi
89;Hotel_Amsterdam_89;Ul. Glowna 82, Amsterdam, Netherlands;3;sniadania;186;7;10;Usluga pralni i prasowania
90;Hotel_Amsterdam_90;Ul. Plazowa 297, Amsterdam, Netherlands;2;pelne wyzywienie;172;32;11;Basen (kryty lub odkryty)
91;Hotel_Amsterdam_91;Ul. Plazowa 45, Amsterdam, Netherlands;4;bez wyzywienia;58;7;5;Silownia / centrum fitness
92;Hotel_Amsterdam_92;Ul. Centralna 191, Amsterdam, Netherlands;3;sniadania;169;17;4;Transfer z/na lotnisko
93;Hotel_Rotterdam_93;Ul. Centralna 291, Rotterdam, Netherlands;2;bez wyzywienia;197;1;8;Obsluga pokojowa (room service)
94;Hotel_Rotterdam_94;Ul. Plazowa 171, Rotterdam, Netherlands;5;pelne wyzywienie;196;32;21;Udogodnienia dla osob niepelnosprawnych
95;Hotel_Rotterdam_95;Ul. Glowna 188, Rotterdam, Netherlands;4;polpension;10;4;22;Usluga pralni i prasowania
96;Hotel_Brussels_96;Ul. Kwiatowa 186, Brussels, Belgium;5;bez wyzywienia;123;2;1;Udogodnienia dla rodzin
97;Hotel_Brussels_97;Ul. Glowna 289, Brussels, Belgium;4;pelne wyzywienie;60;37;13;Transfer z/na lotnisko
98;Hotel_Brussels_98;Ul. Centralna 9, Brussels, Belgium;4;polpension;163;44;9;Parking (bezplatny lub platny)
99;Hotel_Antwerp_99;Ul. Plazowa 300, Antwerp, Belgium;5;polpension;197;29;10;Silownia / centrum fitness
100;Hotel_Antwerp_100;Ul. Plazowa 190, Antwerp, Belgium;2;polpension;96;14;14;Telewizor z serwisami streamingowymi
101;Hotel_Antwerp_101;Ul. Plazowa 155, Antwerp, Belgium;2;bez wyzywienia;26;15;13;Silownia / centrum fitness
102;Hotel_Zurich_102;Ul. Centralna 174, Zurich, Switzerland;5;bez wyzywienia;8;43;10;Telewizor z serwisami streamingowymi
103;Hotel_Zurich_103;Ul. Przykladowa 248, Zurich, Switzerland;3;pelne wyzywienie;91;48;6;Udogodnienia dla osob niepelnosprawnych
104;Hotel_Geneva_104;Ul. Glowna 192, Geneva, Switzerland;3;polpension;173;19;12;Udogodnienia dla rodzin
105;Hotel_Geneva_105;Ul. Glowna 232, Geneva, Switzerland;5;sniadania;96;24;29;Calodobowa recepcja
106;Hotel_Vienna_106;Ul. Glowna 56, Vienna, Austria;5;polpension;14;43;5;Transfer z/na lotnisko
107;Hotel_Vienna_107;Ul. Glowna 102, Vienna, Austria;3;polpension;172;40;19;Calodobowa recepcja
108;Hotel_Vienna_108;Ul. Plazowa 77, Vienna, Austria;4;bez wyzywienia;188;18;21;sniadanie w cenie
109;Hotel_Vienna_109;Ul. Glowna 168, Vienna, Austria;3;sniadania;83;0;6;Obsluga pokojowa (room service)
110;Hotel_Vienna_110;Ul. Przykladowa 16, Vienna, Austria;3;sniadania;118;27;29;Udogodnienia dla rodzin
111;Hotel_Salzburg_111;Ul. Glowna 263, Salzburg, Austria;3;sniadania;139;36;24;Calodobowa recepcja
112;Hotel_Salzburg_112;Ul. Plazowa 145, Salzburg, Austria;5;pelne wyzywienie;193;27;2;Centrum biznesowe / sala konferencyjna
113;Hotel_Salzburg_113;Ul. Przykladowa 214, Salzburg, Austria;3;pelne wyzywienie;142;44;24;Bezplatne Wi-Fi
114;Hotel_Salzburg_114;Ul. Centralna 268, Salzburg, Austria;3;polpension;109;34;21;sniadanie w cenie
115;Hotel_Salzburg_115;Ul. Przykladowa 281, Salzburg, Austria;3;pelne wyzywienie;178;19;0;Mini bar lub lodowka
116;Hotel_Prague_116;Ul. Glowna 198, Prague, Czech Republic;5;polpension;160;46;23;sniadanie w cenie
117;Hotel_Prague_117;Ul. Glowna 123, Prague, Czech Republic;4;bez wyzywienia;7;24;25;Udogodnienia dla rodzin
118;Hotel_Prague_118;Ul. Plazowa 146, Prague, Czech Republic;3;sniadania;34;40;23;sniadanie w cenie
119;Hotel_Ostrava_119;Ul. Kwiatowa 1, Ostrava, Czech Republic;2;polpension;55;41;5;Przechowalnia bagazu
120;Hotel_Ostrava_120;Ul. Przykladowa 38, Ostrava, Czech Republic;3;bez wyzywienia;96;5;14;Basen (kryty lub odkryty)
121;Hotel_Ostrava_121;Ul. Przykladowa 280, Ostrava, Czech Republic;4;polpension;113;7;6;Telewizor z serwisami streamingowymi
122;Hotel_Stockholm_122;Ul. Centralna 160, Stockholm, Sweden;4;bez wyzywienia;98;33;8;Usluga pralni i prasowania
123;Hotel_Stockholm_123;Ul. Plazowa 214, Stockholm, Sweden;4;sniadania;7;21;27;Calodobowa recepcja
124;Hotel_Stockholm_124;Ul. Przykladowa 142, Stockholm, Sweden;4;polpension;134;42;22;Telewizor z serwisami streamingowymi
125;Hotel_Stockholm_125;Ul. Plazowa 134, Stockholm, Sweden;2;bez wyzywienia;71;16;25;Telewizor z serwisami streamingowymi
126;Hotel_Stockholm_126;Ul. Glowna 262, Stockholm, Sweden;4;pelne wyzywienie;103;18;5;Transfer z/na lotnisko
127;Hotel_Gothenburg_127;Ul. Kwiatowa 82, Gothenburg, Sweden;5;pelne wyzywienie;198;7;11;Basen (kryty lub odkryty)
128;Hotel_Gothenburg_128;Ul. Kwiatowa 211, Gothenburg, Sweden;4;pelne wyzywienie;19;28;29;Usluga pralni i prasowania
129;Hotel_Gothenburg_129;Ul. Przykladowa 39, Gothenburg, Sweden;4;sniadania;132;43;22;Mini bar lub lodowka
130;Hotel_Oslo_130;Ul. Kwiatowa 156, Oslo, Norway;4;pelne wyzywienie;61;19;25;Parking (bezplatny lub platny)
131;Hotel_Oslo_131;Ul. Centralna 226, Oslo, Norway;5;polpension;198;5;29;Przechowalnia bagazu
132;Hotel_Bergen_132;Ul. Glowna 92, Bergen, Norway;5;polpension;18;5;23;Udogodnienia dla rodzin
133;Hotel_Bergen_133;Ul. Kwiatowa 176, Bergen, Norway;5;pelne wyzywienie;26;1;2;Restauracja lub bar hotelowy
134;Hotel_Copenhagen_134;Ul. Kwiatowa 226, Copenhagen, Denmark;3;bez wyzywienia;114;16;15;Silownia / centrum fitness
135;Hotel_Copenhagen_135;Ul. Kwiatowa 45, Copenhagen, Denmark;4;bez wyzywienia;92;25;22;Sejf w pokoju lub w recepcji
136;Hotel_Copenhagen_136;Ul. Glowna 1, Copenhagen, Denmark;4;pelne wyzywienie;69;0;5;Telewizor z serwisami streamingowymi
137;Hotel_Copenhagen_137;Ul. Plazowa 213, Copenhagen, Denmark;3;sniadania;168;20;17;Telewizor z serwisami streamingowymi
138;Hotel_Copenhagen_138;Ul. Plazowa 242, Copenhagen, Denmark;3;pelne wyzywienie;161;24;17;Restauracja lub bar hotelowy
139;Hotel_Aarhus_139;Ul. Plazowa 35, Aarhus, Denmark;2;pelne wyzywienie;150;50;3;Udogodnienia dla rodzin
140;Hotel_Aarhus_140;Ul. Kwiatowa 202, Aarhus, Denmark;2;sniadania;70;41;4;Przechowalnia bagazu
141;Hotel_Istanbul_141;Ul. Glowna 287, Istanbul, Turkey;3;pelne wyzywienie;72;13;13;Centrum biznesowe / sala konferencyjna
142;Hotel_Istanbul_142;Ul. Glowna 147, Istanbul, Turkey;3;polpension;189;13;9;Udogodnienia dla osob niepelnosprawnych
143;Hotel_Istanbul_143;Ul. Plazowa 75, Istanbul, Turkey;3;pelne wyzywienie;53;47;17;Udogodnienia dla rodzin
144;Hotel_Antalya_144;Ul. Plazowa 23, Antalya, Turkey;3;sniadania;49;40;8;Sejf w pokoju lub w recepcji
145;Hotel_Antalya_145;Ul. Przykladowa 134, Antalya, Turkey;5;sniadania;132;25;30;Basen (kryty lub odkryty)
146;Hotel_Marrakesh_146;Ul. Kwiatowa 130, Marrakesh, Morocco;3;polpension;87;28;20;Telewizor z serwisami streamingowymi
147;Hotel_Marrakesh_147;Ul. Centralna 25, Marrakesh, Morocco;5;polpension;22;37;25;Usluga pralni i prasowania
148;Hotel_Marrakesh_148;Ul. Centralna 146, Marrakesh, Morocco;4;sniadania;194;10;29;Mini bar lub lodowka
149;Hotel_Casablanca_149;Ul. Glowna 294, Casablanca, Morocco;4;polpension;180;3;12;Calodobowa recepcja
150;Hotel_Casablanca_150;Ul. Przykladowa 176, Casablanca, Morocco;3;sniadania;59;50;1;Calodobowa recepcja
151;Hotel_Tunis_151;Ul. Plazowa 88, Tunis, Tunisia;2;sniadania;156;35;15;Bezplatne Wi-Fi
152;Hotel_Tunis_152;Ul. Plazowa 161, Tunis, Tunisia;5;pelne wyzywienie;198;36;5;Klimatyzacja w pokojach
153;Hotel_Tunis_153;Ul. Plazowa 151, Tunis, Tunisia;4;sniadania;118;47;23;Calodobowa recepcja
154;Hotel_Tunis_154;Ul. Centralna 263, Tunis, Tunisia;4;pelne wyzywienie;61;42;11;sniadanie w cenie
155;Hotel_Tunis_155;Ul. Kwiatowa 202, Tunis, Tunisia;5;sniadania;167;31;30;Przechowalnia bagazu
156;Hotel_Hammamet_156;Ul. Plazowa 244, Hammamet, Tunisia;2;pelne wyzywienie;43;5;7;Silownia / centrum fitness
157;Hotel_Hammamet_157;Ul. Przykladowa 180, Hammamet, Tunisia;3;polpension;76;35;22;Telewizor z serwisami streamingowymi
158;Hotel_Hammamet_158;Ul. Kwiatowa 252, Hammamet, Tunisia;3;sniadania;12;6;22;Telewizor z serwisami streamingowymi
159;Hotel_Hammamet_159;Ul. Przykladowa 9, Hammamet, Tunisia;4;pelne wyzywienie;15;36;27;Parking (bezplatny lub platny)
160;Hotel_Cairo_160;Ul. Centralna 289, Cairo, Egypt;4;pelne wyzywienie;24;0;9;Klimatyzacja w pokojach
161;Hotel_Cairo_161;Ul. Kwiatowa 99, Cairo, Egypt;4;pelne wyzywienie;180;15;20;Czajnik, kawa i herbata w pokoju
162;Hotel_Hurghada_162;Ul. Centralna 214, Hurghada, Egypt;3;polpension;99;44;18;Bezplatne Wi-Fi
163;Hotel_Hurghada_163;Ul. Kwiatowa 216, Hurghada, Egypt;5;polpension;175;14;20;Spa i strefa wellness
164;Hotel_New York_164;Ul. Plazowa 122, New York, USA;3;polpension;60;4;2;Sejf w pokoju lub w recepcji
165;Hotel_New York_165;Ul. Centralna 152, New York, USA;1;polpension;54;37;6;Czajnik, kawa i herbata w pokoju
166;Hotel_Los Angeles_166;Ul. Przykladowa 250, Los Angeles, USA;3;sniadania;189;20;17;Obsluga pokojowa (room service)
167;Hotel_Los Angeles_167;Ul. Kwiatowa 138, Los Angeles, USA;3;pelne wyzywienie;130;12;14;Calodobowa recepcja
168;Hotel_Los Angeles_168;Ul. Kwiatowa 171, Los Angeles, USA;3;polpension;169;12;13;Klimatyzacja w pokojach
169;Hotel_Los Angeles_169;Ul. Przykladowa 24, Los Angeles, USA;5;polpension;100;10;12;Restauracja lub bar hotelowy
170;Hotel_Los Angeles_170;Ul. Plazowa 52, Los Angeles, USA;3;bez wyzywienia;134;26;6;Czajnik, kawa i herbata w pokoju
171;Hotel_Miami_171;Ul. Plazowa 4, Miami, USA;4;sniadania;26;23;5;sniadanie w cenie
172;Hotel_Miami_172;Ul. Przykladowa 63, Miami, USA;3;polpension;5;45;30;Calodobowa recepcja
173;Hotel_Miami_173;Ul. Kwiatowa 92, Miami, USA;5;polpension;42;17;10;Parking (bezplatny lub platny)
174;Hotel_Miami_174;Ul. Glowna 2, Miami, USA;3;polpension;187;27;9;Sejf w pokoju lub w recepcji
175;Hotel_Toronto_175;Ul. Centralna 110, Toronto, Canada;4;bez wyzywienia;89;38;20;Centrum biznesowe / sala konferencyjna
176;Hotel_Toronto_176;Ul. Kwiatowa 232, Toronto, Canada;3;polpension;42;26;19;Transfer z/na lotnisko
177;Hotel_Toronto_177;Ul. Plazowa 135, Toronto, Canada;3;polpension;91;3;0;sniadanie w cenie
178;Hotel_Montreal_178;Ul. Przykladowa 105, Montreal, Canada;3;polpension;180;31;17;Centrum biznesowe / sala konferencyjna
179;Hotel_Montreal_179;Ul. Plazowa 246, Montreal, Canada;5;pelne wyzywienie;139;4;28;Spa i strefa wellness
180;Hotel_Montreal_180;Ul. Przykladowa 104, Montreal, Canada;4;bez wyzywienia;42;23;8;Udogodnienia dla osob niepelnosprawnych
181;Hotel_Montreal_181;Ul. Centralna 212, Montreal, Canada;3;sniadania;185;17;3;Czajnik, kawa i herbata w pokoju
182;Hotel_Montreal_182;Ul. Plazowa 127, Montreal, Canada;2;polpension;74;4;28;Obsluga pokojowa (room service)
183;Hotel_Sydney_183;Ul. Przykladowa 102, Sydney, Australia;3;pelne wyzywienie;141;5;24;Restauracja lub bar hotelowy
184;Hotel_Sydney_184;Ul. Przykladowa 247, Sydney, Australia;3;bez wyzywienia;135;5;0;Obsluga pokojowa (room service)
185;Hotel_Melbourne_185;Ul. Glowna 273, Melbourne, Australia;3;sniadania;118;27;10;Spa i strefa wellness
186;Hotel_Melbourne_186;Ul. Plazowa 127, Melbourne, Australia;4;pelne wyzywienie;156;15;27;Mini bar lub lodowka
187;Hotel_Melbourne_187;Ul. Centralna 142, Melbourne, Australia;3;bez wyzywienia;24;1;11;Telewizor z serwisami streamingowymi
188;Hotel_Melbourne_188;Ul. Kwiatowa 64, Melbourne, Australia;4;pelne wyzywienie;193;43;27;Udogodnienia dla rodzin
189;Hotel_Melbourne_189;Ul. Kwiatowa 60, Melbourne, Australia;3;bez wyzywienia;21;34;15;Sejf w pokoju lub w recepcji
190;Hotel_Tokyo_190;Ul. Plazowa 289, Tokyo, Japan;4;sniadania;105;9;3;Centrum biznesowe / sala konferencyjna
191;Hotel_Tokyo_191;Ul. Przykladowa 107, Tokyo, Japan;4;polpension;97;27;14;Calodobowa recepcja
192;Hotel_Tokyo_192;Ul. Plazowa 255, Tokyo, Japan;3;bez wyzywienia;35;45;22;Telewizor z serwisami streamingowymi
193;Hotel_Tokyo_193;Ul. Kwiatowa 32, Tokyo, Japan;4;polpension;199;30;26;Calodobowa recepcja
194;Hotel_Tokyo_194;Ul. Przykladowa 229, Tokyo, Japan;3;sniadania;111;38;10;Restauracja lub bar hotelowy
195;Hotel_Osaka_195;Ul. Przykladowa 66, Osaka, Japan;1;pelne wyzywienie;157;18;4;Parking (bezplatny lub platny)
196;Hotel_Osaka_196;Ul. Glowna 290, Osaka, Japan;4;pelne wyzywienie;115;45;15;sniadanie w cenie
197;Hotel_Beijing_197;Ul. Kwiatowa 162, Beijing, China;2;bez wyzywienia;66;17;4;Calodobowa recepcja
198;Hotel_Beijing_198;Ul. Centralna 188, Beijing, China;5;bez wyzywienia;12;33;10;Spa i strefa wellness
199;Hotel_Beijing_199;Ul. Glowna 136, Beijing, China;3;sniadania;187;33;5;Udogodnienia dla rodzin
200;Hotel_Beijing_200;Ul. Centralna 277, Beijing, China;3;bez wyzywienia;18;4;6;Mini bar lub lodowka
201;Hotel_Shanghai_201;Ul. Przykladowa 138, Shanghai, China;3;bez wyzywienia;24;35;8;Bezplatne Wi-Fi
202;Hotel_Shanghai_202;Ul. Glowna 149, Shanghai, China;1;pelne wyzywienie;184;12;15;Transfer z/na lotnisko
203;Hotel_Shanghai_203;Ul. Centralna 261, Shanghai, China;5;polpension;72;31;6;Przechowalnia bagazu
204;Hotel_Shanghai_204;Ul. Centralna 118, Shanghai, China;4;sniadania;65;19;17;Obsluga pokojowa (room service)
205;Hotel_Shanghai_205;Ul. Przykladowa 152, Shanghai, China;4;pelne wyzywienie;138;31;8;Sejf w pokoju lub w recepcji
206;Hotel_Mumbai_206;Ul. Centralna 26, Mumbai, India;5;bez wyzywienia;85;28;29;Obsluga pokojowa (room service)
207;Hotel_Mumbai_207;Ul. Kwiatowa 122, Mumbai, India;4;pelne wyzywienie;127;6;27;Parking (bezplatny lub platny)
208;Hotel_Mumbai_208;Ul. Plazowa 222, Mumbai, India;5;polpension;49;34;20;Czajnik, kawa i herbata w pokoju
209;Hotel_Mumbai_209;Ul. Kwiatowa 215, Mumbai, India;3;sniadania;177;15;24;Calodobowa recepcja
210;Hotel_Delhi_210;Ul. Plazowa 164, Delhi, India;4;pelne wyzywienie;184;25;1;Transfer z/na lotnisko
211;Hotel_Delhi_211;Ul. Plazowa 201, Delhi, India;5;polpension;85;49;2;Basen (kryty lub odkryty)
