Miejscowosc;Termin;Cena;LiczbaOsob
Shanghai;2024-12-25;135;17
Shanghai;2025-05-26;135;14
Shanghai;2021-07-13;135;10
Vienna;2022-02-23;80;9
Vienna;2020-04-20;80;13
Vienna;2021-01-13;80;6
Osaka;2024-08-05;262;18
Osaka;2020-04-28;262;1
Osaka;2024-03-14;262;21
Bergen;2023-05-27;248;1
Bergen;2024-10-24;248;15
Bergen;2022-07-03;248;10
Montreal;2021-06-05;299;1
Montreal;2024-09-04;299;29
Montreal;2020-09-08;299;6
Edinburgh;2024-04-15;277;32
Edinburgh;2021-11-18;277;35
Edinburgh;2022-09-02;277;9
Thessaloniki;2024-11-08;295;16
Thessaloniki;2020-07-27;295;6
Thessaloniki;2022-02-04;295;5
Shanghai;2024-08-09;43;14
Shanghai;2024-11-11;43;35
Shanghai;2024-04-15;43;10
Athens;2023-04-26;328;22
Athens;2023-01-14;328;12
Athens;2020-01-22;328;29
Split;2024-10-03;182;29
Split;2020-09-08;182;4
Split;2021-03-16;182;2
Nice;2024-11-28;255;1
Nice;2022-03-24;255;9
Nice;2023-06-12;255;19
Zurich;2020-11-01;382;1
Zurich;2020-03-20;382;12
Zurich;2024-10-11;382;1
Oslo;2024-04-06;325;5
Oslo;2023-05-02;325;11
Oslo;2021-04-30;325;17
Copenhagen;2020-03-15;259;5
Copenhagen;2024-10-20;259;16
Copenhagen;2024-09-20;259;18
Copenhagen;2024-01-17;332;31
Copenhagen;2022-03-08;332;8
Copenhagen;2025-11-06;332;7
Toronto;2023-09-27;148;7
Toronto;2021-05-23;148;14
Toronto;2025-06-16;148;28
Paris;2020-02-12;215;15
Paris;2025-10-16;215;42
Paris;2021-06-28;215;4
Akureyri;2022-08-15;120;26
Akureyri;2022-07-16;120;7
Akureyri;2024-05-11;120;4
Toronto;2020-11-07;387;35
Toronto;2025-10-23;387;5
Toronto;2025-02-19;387;12
Athens;2023-09-05;297;30
Athens;2025-07-14;297;5
Athens;2025-12-13;297;18
Porto;2024-08-19;193;4
Porto;2024-08-13;193;9
Porto;2022-11-08;193;1
Osaka;2021-01-06;74;11
Osaka;2024-09-03;74;8
Osaka;2021-04-27;74;7
Istanbul;2025-11-21;48;4
Istanbul;2025-08-12;48;7
Istanbul;2023-10-22;48;13
Rome;2022-07-16;126;30
Rome;2024-05-27;126;28
Rome;2025-09-11;126;11
Hurghada;2022-05-21;86;5
Hurghada;2021-03-06;86;19
Hurghada;2025-03-04;86;2
Casablanca;2024-11-27;282;12
Casablanca;2020-03-09;282;2
Casablanca;2024-06-21;282;2
Osaka;2024-08-06;91;10
Osaka;2023-11-29;91;5
Osaka;2020-03-29;91;6
Dublin;2025-12-09;291;9
Dublin;2020-09-10;291;28
Dublin;2023-02-23;291;3
Rome;2023-06-24;397;5
Rome;2025-04-14;397;16
Rome;2022-10-15;397;8
Gdansk;2020-12-17;64;16
Gdansk;2021-12-06;64;10
Gdansk;2020-04-22;64;40
Akureyri;2022-06-08;44;27
Akureyri;2024-12-06;44;38
Akureyri;2020-03-14;44;34
Gothenburg;2025-11-24;181;17
Gothenburg;2024-12-30;181;22
Gothenburg;2023-08-20;181;8
Istanbul;2020-09-14;312;13
Istanbul;2022-02-02;312;20
Istanbul;2022-08-26;312;21
Dubrovnik;2024-01-23;183;1
Dubrovnik;2023-11-07;183;40
Dubrovnik;2020-04-23;183;4
Milan;2025-05-17;336;35
Milan;2022-01-01;336;17
Milan;2025-04-23;336;3
Manchester;2024-11-15;273;16
Manchester;2024-08-05;273;10
Manchester;2021-02-09;273;29
Marrakesh;2025-10-30;166;10
Marrakesh;2024-08-12;166;17
Marrakesh;2020-07-17;166;43
Hurghada;2020-08-30;322;20
Hurghada;2024-03-22;322;7
Hurghada;2020-03-02;322;17
Krakow;2025-07-05;87;7
Krakow;2021-04-16;87;3
Krakow;2025-04-05;87;19
Paris;2023-01-11;279;7
Paris;2020-10-24;279;14
Paris;2023-11-06;279;9
Ostrava;2022-05-21;138;32
Ostrava;2024-03-05;138;2
Ostrava;2022-11-07;138;21
Manchester;2020-04-05;351;5
Manchester;2021-12-14;351;1
Manchester;2023-07-23;351;9
Rotterdam;2021-03-29;362;9
Rotterdam;2021-05-18;362;15
Rotterdam;2022-08-20;362;23
Cairo;2020-11-02;72;18
Cairo;2025-03-13;72;4
Cairo;2024-04-24;72;3
Thessaloniki;2021-10-30;174;3
Thessaloniki;2025-09-23;174;38
Thessaloniki;2020-02-22;174;3
Hurghada;2023-04-24;61;9
Hurghada;2025-12-03;61;10
Hurghada;2025-05-31;61;13
Milan;2025-11-13;162;12
Milan;2025-11-19;162;22
Milan;2023-08-30;162;7
Aarhus;2022-07-08;55;36
Aarhus;2024-05-01;55;20
Aarhus;2024-06-08;55;4
Tunis;2025-06-03;125;2
Tunis;2022-10-24;125;1
Tunis;2022-08-30;125;6
Casablanca;2025-08-17;125;43
Casablanca;2022-10-07;125;9
Casablanca;2021-09-10;125;2
London;2024-04-19;270;14
London;2022-03-03;270;31
London;2020-09-27;270;13
Toronto;2024-02-11;376;23
Toronto;2021-01-21;376;8
Toronto;2025-08-22;376;1
Akureyri;2020-10-29;180;13
Akureyri;2022-08-06;180;22
Akureyri;2024-05-01;180;2
Manchester;2020-02-26;107;23
Manchester;2021-06-29;107;26
Manchester;2020-02-18;107;14
Salzburg;2022-03-05;269;6
Salzburg;2024-01-21;269;8
Salzburg;2022-09-23;269;12
Miami;2020-02-19;74;31
Miami;2021-03-14;74;2
Miami;2023-02-23;74;20
Osaka;2025-08-07;202;12
Osaka;2025-05-26;202;28
Osaka;2022-12-06;202;17
Burgas;2025-09-14;156;25
Burgas;2025-12-05;156;13
Burgas;2021-02-02;156;2
Ostrava;2022-05-21;390;1
Ostrava;2025-04-25;390;35
Ostrava;2025-06-25;390;4
Prague;2025-05-17;97;14
Prague;2024-07-31;97;11
Prague;2024-04-06;97;11
Hurghada;2024-01-09;96;4
Hurghada;2023-12-24;96;33
Hurghada;2024-09-20;96;27
Barcelona;2024-04-30;229;13
Barcelona;2023-05-28;229;36
Barcelona;2022-11-29;229;13
Sydney;2024-11-24;248;13
Sydney;2020-09-15;248;12
Sydney;2024-05-19;248;10
Reykjavik;2024-07-09;60;13
Reykjavik;2024-11-05;60;1
Reykjavik;2022-07-08;60;5
Rotterdam;2020-10-30;253;4
Rotterdam;2021-12-22;253;39
Rotterdam;2024-05-11;253;11
Milan;2021-10-30;366;8
Milan;2023-11-22;366;22
Milan;2020-01-28;366;9
Gothenburg;2020-02-08;333;12
Gothenburg;2020-02-07;333;22
Gothenburg;2021-01-19;333;10
Vienna;2020-02-25;91;11
Vienna;2020-07-04;91;40
Vienna;2023-09-03;91;2
Lisbon;2024-12-12;362;10
Lisbon;2020-07-20;362;7
Lisbon;2023-04-09;362;1
Osaka;2021-12-20;190;16
Osaka;2025-03-27;190;3
Osaka;2020-01-17;190;14
Reykjavik;2025-08-14;250;13
Reykjavik;2021-12-27;250;32
Reykjavik;2025-09-24;250;2
Barcelona;2025-08-24;77;21
Barcelona;2023-08-13;77;49
Barcelona;2023-05-14;77;28
Gothenburg;2023-07-13;389;6
Gothenburg;2022-09-27;389;30
Gothenburg;2021-07-24;389;9
Rotterdam;2021-09-17;239;7
Rotterdam;2025-09-30;239;30
Rotterdam;2022-11-02;239;30
Porto;2023-12-03;147;11
Porto;2023-03-21;147;10
Porto;2024-10-25;147;14
Zurich;2020-01-02;154;15
Zurich;2025-05-02;154;31
Zurich;2024-01-12;154;17
Amsterdam;2025-04-08;280;27
Amsterdam;2025-04-09;280;9
Amsterdam;2020-06-03;280;32
Nice;2023-12-13;194;8
Nice;2024-09-22;194;8
Nice;2022-01-03;194;23
Rome;2025-05-14;377;8
Rome;2023-05-09;377;22
Rome;2022-05-27;377;6
Prague;2021-06-25;352;5
Prague;2020-02-27;352;7
Prague;2025-07-27;352;7
Rotterdam;2021-03-14;248;27
Rotterdam;2022-08-15;248;3
Rotterdam;2023-08-19;248;8
Manchester;2022-01-09;61;1
Manchester;2021-12-22;61;27
Manchester;2025-07-09;61;38
Hammamet;2021-02-18;122;13
Hammamet;2020-08-13;122;1
Hammamet;2022-04-23;122;10
Zurich;2021-04-14;104;14
Zurich;2022-12-14;104;12
Zurich;2020-04-21;104;8
Los Angeles;2022-02-08;128;8
Los Angeles;2022-03-14;128;14
Los Angeles;2022-07-13;128;1
Paris;2024-06-11;182;6
Paris;2025-03-11;182;44
Paris;2025-02-15;182;24
Paris;2022-03-11;387;27
Paris;2022-06-20;387;30
Paris;2024-07-05;387;1
Sydney;2024-01-21;279;10
Sydney;2023-10-01;279;2
Sydney;2020-03-14;279;21
Cairo;2021-08-31;340;9
Cairo;2022-05-10;340;6
Cairo;2021-11-05;340;9
Reykjavik;2022-05-28;226;11
Reykjavik;2023-05-22;226;30
Reykjavik;2020-01-24;226;22
Salzburg;2022-05-02;300;3
Salzburg;2020-09-25;300;17
Salzburg;2023-06-28;300;8
Vienna;2021-12-27;300;12
Vienna;2023-01-12;300;1
Vienna;2022-05-19;300;8
Rotterdam;2021-12-16;378;1
Rotterdam;2021-08-20;378;2
Rotterdam;2021-10-18;378;16
Montreal;2023-11-20;74;27
Montreal;2020-08-26;74;40
Montreal;2022-07-19;74;16
Hurghada;2020-09-03;193;8
Hurghada;2025-02-13;193;4
Hurghada;2023-12-07;193;14
Stockholm;2025-01-20;82;17
Stockholm;2020-08-27;82;11
Stockholm;2022-06-15;82;20
Barcelona;2024-05-15;170;11
Barcelona;2022-01-19;170;7
Barcelona;2024-12-02;170;1
Prague;2021-01-21;385;19
Prague;2024-04-30;385;13
Prague;2023-06-24;385;23
Montreal;2025-02-17;54;5
Montreal;2020-04-26;54;23
Montreal;2021-09-18;54;8
Prague;2020-12-31;372;10
Prague;2025-03-31;372;2
Prague;2020-12-25;372;2
Melbourne;2021-11-15;144;18
Melbourne;2020-05-12;144;43
Melbourne;2023-11-05;144;5
Geneva;2022-09-20;135;11
Geneva;2024-12-07;135;27
Geneva;2021-09-03;135;1
Lyon;2021-07-19;257;24
Lyon;2022-03-15;257;15
Lyon;2022-07-08;257;14
Lisbon;2025-12-09;75;34
Lisbon;2020-10-30;75;9
Lisbon;2023-03-31;75;13
Venice;2023-05-26;355;16
Venice;2021-12-06;355;28
Venice;2023-07-23;355;18
Rotterdam;2025-05-28;296;4
Rotterdam;2020-05-15;296;5
Rotterdam;2022-04-20;296;2
Nice;2021-04-23;344;37
Nice;2024-08-10;344;25
Nice;2025-06-16;344;1
Thessaloniki;2021-10-05;99;21
Thessaloniki;2023-09-23;99;32
Thessaloniki;2023-02-14;99;23
Delhi;2025-04-08;315;22
Delhi;2022-04-13;315;20
Delhi;2024-04-20;315;18
Hamburg;2020-08-30;128;5
Hamburg;2020-04-18;128;3
Hamburg;2024-02-07;128;12
Cork;2021-10-20;336;32
Cork;2020-03-26;336;16
Cork;2025-01-06;336;42
Mumbai;2025-12-28;295;4
Mumbai;2024-07-22;295;3
Mumbai;2022-07-23;295;8
Edinburgh;2022-04-05;122;4
Edinburgh;2023-08-12;122;24
Edinburgh;2020-09-05;122;9
Brussels;2020-12-18;231;12
Brussels;2020-10-22;231;12
Brussels;2021-03-10;231;11
London;2023-11-04;302;30
London;2021-03-01;302;10
London;2024-02-18;302;15
Split;2025-09-26;370;13
Split;2024-03-05;370;8
Split;2023-05-28;370;12
Casablanca;2021-06-13;354;14
Casablanca;2023-01-22;354;9
Casablanca;2024-04-05;354;34
Lyon;2020-01-15;43;10
Lyon;2020-12-01;43;13
Lyon;2025-05-29;43;15
Barcelona;2024-03-30;271;6
Barcelona;2023-05-16;271;1
Barcelona;2022-01-01;271;5
Thessaloniki;2023-12-17;188;3
Thessaloniki;2021-01-16;188;36
Thessaloniki;2023-04-10;188;23
Gothenburg;2022-07-28;386;21
Gothenburg;2023-12-03;386;2
Gothenburg;2025-09-04;386;10
Valencia;2024-01-27;287;31
Valencia;2024-05-03;287;22
Valencia;2024-06-15;287;2
Porto;2023-09-23;286;16
Porto;2023-02-05;286;3
Porto;2023-08-23;286;16
Reykjavik;2022-11-01;202;10
Reykjavik;2021-03-25;202;4
Reykjavik;2024-03-17;202;2
Rome;2021-03-22;256;10
Rome;2024-01-10;256;8
Rome;2021-09-12;256;14
Vienna;2022-06-29;60;15
Vienna;2021-11-25;60;7
Vienna;2023-05-07;60;29
Antwerp;2021-07-28;170;38
Antwerp;2020-01-31;170;20
Antwerp;2022-05-30;170;4
Osaka;2023-03-10;354;2
Osaka;2020-07-21;354;7
Osaka;2023-07-13;354;43
Antalya;2021-06-01;399;3
Antalya;2022-12-09;399;12
Antalya;2020-10-30;399;3
Copenhagen;2020-06-18;123;1
Copenhagen;2024-12-28;123;29
Copenhagen;2025-06-20;123;31
Dublin;2021-02-05;215;2
Dublin;2022-02-06;215;19
Dublin;2020-10-06;215;23
Antwerp;2020-11-23;359;5
Antwerp;2021-02-22;359;15
Antwerp;2022-10-25;359;41
Paris;2022-06-02;393;13
Paris;2022-07-12;393;4
Paris;2021-04-13;393;2
Delhi;2024-03-08;361;3
Delhi;2020-02-02;361;10
Delhi;2022-05-09;361;4
Munich;2022-10-23;128;5
Munich;2023-01-03;128;19
Munich;2025-11-25;128;4
Cairo;2020-05-12;269;15
Cairo;2024-08-03;269;23
Cairo;2022-08-14;269;18
Rome;2021-09-17;201;9
Rome;2023-01-09;201;15
Rome;2025-03-04;201;2
Hammamet;2025-08-02;337;21
Hammamet;2022-11-05;337;5
Hammamet;2024-08-03;337;6
Porto;2023-12-07;236;22
Porto;2024-10-04;236;2
Porto;2025-05-05;236;3
Venice;2020-10-19;44;1
Venice;2020-01-14;44;16
Venice;2021-06-16;44;21
Copenhagen;2023-12-27;226;18
Copenhagen;2024-07-30;226;28
Copenhagen;2021-02-25;226;8
Hamburg;2025-05-02;69;31
Hamburg;2023-02-27;69;14
Hamburg;2024-01-26;69;21
Montreal;2022-07-27;277;7
Montreal;2024-09-03;277;6
Montreal;2020-05-30;277;45
Porto;2024-01-21;237;10
Porto;2025-04-26;237;13
Porto;2025-05-20;237;2
Montreal;2020-03-29;59;6
Montreal;2024-11-10;59;17
Montreal;2025-08-29;59;4
Zurich;2025-07-21;253;33
Zurich;2021-08-14;253;35
Zurich;2020-02-19;253;7
Aarhus;2020-03-23;73;7
Aarhus;2025-05-14;73;24
Aarhus;2023-09-26;73;25
Toronto;2023-01-08;135;29
Toronto;2023-11-13;135;7
Toronto;2023-08-16;135;18
Madrid;2021-10-13;91;5
Madrid;2021-12-02;91;8
Madrid;2020-12-30;91;1
Paris;2024-11-03;217;4
Paris;2020-10-19;217;20
Paris;2023-06-16;217;1
Marrakesh;2024-12-03;357;14
Marrakesh;2024-05-16;357;15
Marrakesh;2021-06-12;357;15
Marrakesh;2022-05-21;299;5
Marrakesh;2023-06-10;299;15
Marrakesh;2020-06-03;299;17
Valencia;2020-01-20;320;27
Valencia;2022-07-07;320;8
Valencia;2020-12-02;320;15
Vienna;2020-02-07;180;5
Vienna;2024-07-08;180;7
Vienna;2021-12-14;180;9
Munich;2025-06-06;200;5
Munich;2023-10-07;200;4
Munich;2020-05-16;200;33
Marrakesh;2023-03-29;222;1
Marrakesh;2022-07-31;222;20
Marrakesh;2021-01-06;222;16
Krakow;2024-02-23;321;4
Krakow;2025-02-11;321;31
Krakow;2020-06-05;321;6
Milan;2024-06-05;160;35
Milan;2020-03-30;160;30
Milan;2021-08-13;160;28
Tokyo;2020-10-18;145;23
Tokyo;2025-01-04;145;37
Tokyo;2023-01-04;145;15
Tokyo;2024-03-08;122;1
Tokyo;2025-09-01;122;8
Tokyo;2021-04-20;122;7
Mumbai;2020-04-07;364;26
Mumbai;2024-01-22;364;5
Mumbai;2024-08-14;364;3
Beijing;2022-05-24;127;17
Beijing;2023-07-02;127;11
Beijing;2024-11-16;127;29
Milan;2025-06-24;370;30
Milan;2023-08-03;370;12
Milan;2022-11-27;370;14
Hurghada;2025-04-22;208;5
Hurghada;2023-08-07;208;16
Hurghada;2023-12-29;208;22
Reykjavik;2021-12-10;282;45
Reykjavik;2021-01-19;282;2
Reykjavik;2022-09-08;282;7
Melbourne;2022-09-23;65;7
Melbourne;2020-04-16;65;21
Melbourne;2022-01-30;65;18
Lyon;2024-01-15;203;3
Lyon;2024-08-30;203;21
Lyon;2022-03-05;203;4
Beijing;2023-04-17;360;28
Beijing;2022-08-21;360;25
Beijing;2025-05-23;360;46
Miami;2021-10-12;343;15
Miami;2024-02-20;343;20
Miami;2021-10-29;343;2
Cairo;2024-09-23;306;4
Cairo;2024-11-09;306;12
Cairo;2023-10-03;306;28
Valencia;2020-01-25;155;16
Valencia;2021-10-01;155;27
Valencia;2023-06-20;155;44
New York;2023-07-22;187;6
New York;2021-08-23;187;6
New York;2020-06-14;187;7
Beijing;2025-08-26;203;22
Beijing;2025-09-12;203;16
Beijing;2024-06-04;203;10
Athens;2020-02-12;236;15
Athens;2023-11-28;236;9
Athens;2023-10-01;236;17
Cork;2024-04-12;273;1
Cork;2022-11-08;273;19
Cork;2025-11-20;273;18
Ostrava;2020-06-22;215;5
Ostrava;2024-12-20;215;6
Ostrava;2021-07-18;215;10
Barcelona;2023-08-09;145;14
Barcelona;2020-08-16;145;30
Barcelona;2024-12-04;145;7
Munich;2021-12-08;200;16
Munich;2022-07-08;200;16
Munich;2021-03-19;200;19
Hamburg;2023-06-08;73;5
Hamburg;2025-10-01;73;1
Hamburg;2022-11-08;73;7
Hammamet;2023-12-10;296;1
Hammamet;2020-10-02;296;4
Hammamet;2023-08-23;296;32
Zurich;2024-01-25;302;15
Zurich;2021-01-25;302;26
Zurich;2025-05-14;302;8
Cairo;2024-11-27;379;13
Cairo;2024-07-27;379;17
Cairo;2024-08-23;379;47
Geneva;2021-07-10;150;9
Geneva;2024-12-13;150;7
Geneva;2023-03-16;150;11
Stockholm;2023-01-11;50;20
Stockholm;2024-06-23;50;2
Stockholm;2020-02-05;50;12
Geneva;2024-12-13;187;6
Geneva;2021-07-23;187;11
Geneva;2020-08-09;187;12
Melbourne;2022-06-08;198;5
Melbourne;2022-12-30;198;3
Melbourne;2025-05-09;198;33
Copenhagen;2025-06-27;137;27
Copenhagen;2021-06-18;137;17
Copenhagen;2021-08-19;137;19
Aarhus;2023-03-18;111;26
Aarhus;2020-09-17;111;15
Aarhus;2020-12-31;111;3
Casablanca;2022-02-12;259;22
Casablanca;2025-06-16;259;26
Casablanca;2023-11-19;259;24
Zurich;2020-08-19;328;26
Zurich;2020-11-17;328;17
Zurich;2023-10-24;328;8
Berlin;2023-01-03;395;24
Berlin;2023-12-30;395;17
Berlin;2023-10-15;395;13
Split;2025-12-31;235;6
Split;2025-04-26;235;22
Split;2022-07-06;235;31
Salzburg;2025-05-20;241;21
Salzburg;2025-08-02;241;15
Salzburg;2024-07-30;241;3
Rotterdam;2020-05-12;341;27
Rotterdam;2023-08-03;341;20
Rotterdam;2021-01-03;341;7
Mumbai;2025-10-17;174;5
Mumbai;2020-10-31;174;3
Mumbai;2025-08-05;174;4
Mumbai;2021-10-31;182;7
Mumbai;2025-12-19;182;35
Mumbai;2022-08-13;182;25
Burgas;2020-06-23;122;12
Burgas;2025-04-15;122;35
Burgas;2025-11-24;122;3
Hurghada;2022-10-04;54;11
Hurghada;2025-09-18;54;32
Hurghada;2021-05-04;54;27
Marrakesh;2025-01-04;238;2
Marrakesh;2023-01-15;238;7
Marrakesh;2023-12-18;238;15
Vienna;2022-04-25;51;24
Vienna;2020-02-13;51;11
Vienna;2022-04-07;51;18
Nice;2024-11-26;257;12
Nice;2020-11-26;257;26
Nice;2024-07-23;257;7
Athens;2020-01-08;395;4
Athens;2020-07-28;395;43
Athens;2023-05-29;395;42
Rome;2022-09-19;377;20
Rome;2022-11-18;377;4
Rome;2021-03-06;377;16
Mumbai;2025-12-07;280;14
Mumbai;2022-09-02;280;36
Mumbai;2024-12-31;280;38
Brussels;2025-08-19;226;8
Brussels;2025-07-12;226;5
Brussels;2025-08-18;226;1
Valencia;2021-06-13;343;10
Valencia;2023-08-11;343;18
Valencia;2021-09-21;343;26
Berlin;2024-04-18;371;8
Berlin;2023-12-26;371;28
Berlin;2025-06-22;371;9
Dubrovnik;2024-08-11;69;6
Dubrovnik;2020-03-16;69;38
Dubrovnik;2021-08-17;69;2
Reykjavik;2023-04-01;381;9
Reykjavik;2024-06-27;381;3
Reykjavik;2022-12-21;381;17
Beijing;2022-05-03;201;5
Beijing;2023-10-18;201;29
Beijing;2023-03-03;201;9
Split;2022-04-10;170;7
Split;2023-01-08;170;33
Split;2024-09-20;170;20
Antalya;2021-06-28;314;24
Antalya;2020-01-16;314;17
Antalya;2021-02-18;314;30
Osaka;2023-11-05;293;2
Osaka;2024-09-28;293;31
Osaka;2021-03-18;293;7
Warsaw;2025-09-23;375;32
Warsaw;2024-10-07;375;3
Warsaw;2024-08-25;375;3
Lyon;2020-02-10;354;5
Lyon;2024-11-21;354;5
Lyon;2023-03-19;354;40
Marrakesh;2023-10-04;278;10
Marrakesh;2025-06-19;278;46
Marrakesh;2020-03-27;278;4
Ostrava;2023-07-27;391;34
Ostrava;2022-01-24;391;30
Ostrava;2022-01-11;391;28
Ostrava;2023-06-06;322;45
Ostrava;2024-05-08;322;42
Ostrava;2021-01-28;322;5
Casablanca;2025-09-16;354;14
Casablanca;2020-09-13;354;15
Casablanca;2021-04-03;354;11
Copenhagen;2023-02-19;116;7
Copenhagen;2022-10-11;116;24
Copenhagen;2024-09-02;116;11
Amsterdam;2020-06-27;212;21
Amsterdam;2023-04-25;212;17
Amsterdam;2024-09-18;212;10
Shanghai;2023-09-30;219;5
Shanghai;2024-03-26;219;6
Shanghai;2024-09-30;219;14
Miami;2020-04-14;115;24
Miami;2023-02-19;115;2
Miami;2025-09-28;115;36
Shanghai;2023-02-08;123;11
Shanghai;2024-04-07;123;4
Shanghai;2021-05-29;123;23
Split;2023-03-13;46;28
Split;2021-03-19;46;10
Split;2022-06-18;46;20
Hammamet;2025-05-13;93;7
Hammamet;2021-02-04;93;33
Hammamet;2024-08-20;93;5
Hamburg;2025-02-18;324;16
Hamburg;2021-07-04;324;28
Hamburg;2025-03-10;324;23
Hamburg;2022-09-17;244;12
Hamburg;2021-08-29;244;18
Hamburg;2024-07-26;244;8
Cork;2024-06-26;278;36
Cork;2020-07-23;278;40
Cork;2025-04-26;278;11
Tunis;2021-10-10;282;1
Tunis;2023-02-16;282;43
Tunis;2021-11-22;282;1
Oslo;2022-10-30;326;18
Oslo;2020-01-27;326;6
Oslo;2022-11-23;326;1
Istanbul;2023-10-09;219;10
Istanbul;2022-09-13;219;7
Istanbul;2024-06-11;219;10
Ostrava;2022-04-24;374;1
Ostrava;2024-12-29;374;34
Ostrava;2024-10-02;374;25
Montreal;2022-01-11;341;15
Montreal;2020-07-16;341;6
Montreal;2024-01-14;341;5
Barcelona;2024-10-16;360;3
Barcelona;2020-12-13;360;10
Barcelona;2022-04-27;360;25
Delhi;2021-06-24;62;4
Delhi;2021-05-21;62;6
Delhi;2021-09-28;62;29
Marrakesh;2023-07-21;174;14
Marrakesh;2024-12-11;174;39
Marrakesh;2022-06-15;174;7
Bergen;2022-02-05;63;4
Bergen;2021-12-24;63;4
Bergen;2022-03-05;63;28
Mumbai;2020-01-11;82;5
Mumbai;2020-09-10;82;22
Mumbai;2025-05-31;82;4
Ostrava;2023-03-04;147;5
Ostrava;2023-12-02;147;8
Ostrava;2022-06-12;147;39
Rome;2022-01-21;289;1
Rome;2025-10-19;289;5
Rome;2020-06-21;289;5
Lisbon;2022-08-26;244;3
Lisbon;2023-03-19;244;4
Lisbon;2025-04-10;244;32
Gdansk;2022-03-31;114;6
Gdansk;2025-04-18;114;25
Gdansk;2024-06-01;114;6
Antalya;2022-12-17;279;33
Antalya;2023-03-31;279;12
Antalya;2021-02-10;279;7
Montreal;2020-08-06;400;28
Montreal;2022-03-23;400;15
Montreal;2025-05-18;400;28
London;2025-06-28;398;19
London;2023-10-11;398;37
London;2025-12-09;398;12
Lyon;2020-06-15;56;4
Lyon;2021-11-30;56;1
Lyon;2024-08-22;56;1
Bergen;2022-03-23;152;6
Bergen;2024-08-03;152;30
Bergen;2024-09-25;152;6
Marrakesh;2025-03-02;119;7
Marrakesh;2023-12-11;119;28
Marrakesh;2022-07-09;119;26
Cork;2020-12-28;351;3
Cork;2025-06-04;351;10
Cork;2020-01-29;351;2
Thessaloniki;2024-10-18;311;11
Thessaloniki;2023-09-18;311;2
Thessaloniki;2025-08-29;311;13
Montreal;2020-02-03;201;23
Montreal;2022-01-20;201;5
Montreal;2022-04-21;201;4
Cairo;2021-01-29;342;17
Cairo;2022-02-14;342;6
Cairo;2020-05-03;342;5
Antalya;2021-03-14;400;5
Antalya;2025-10-30;400;6
Antalya;2025-06-28;400;30
Gdansk;2022-07-27;148;49
Gdansk;2020-09-19;148;15
Gdansk;2023-11-01;148;10
Bergen;2020-03-07;85;41
Bergen;2023-03-20;85;6
Bergen;2021-03-07;85;21
Paris;2020-05-22;395;4
