IdHotelu;Nazwa;Adres;StandardHotelu;ZakresWyzywienia;LiczbaPokoi2;LiczbaPokoi3;LiczbaPokoi4;Udogodnienia
55;Hotel_Wiedeń_55;Ul. Kwiatowa 80, Wiedeń, Wiedeń, Austria;4;pełne wyżywienie;182;16;9;"basen;wifi"
56;Hotel_Salzburg_56;Ul. Centralna 189, Salzburg, Salzburg, Austria;5;półpension;101;6;28;"basen;wifi"
57;Hotel_Salzburg_57;Ul. Centralna 87, Salzburg, Salzburg, Austria;4;półpension;24;42;26;"basen;siłownia;spa"
58;Hotel_Salzburg_58;Ul. Główna 56, Salzburg, Salzburg, Austria;4;śniadania;119;40;3;brak
59;Hotel_Praga_59;Ul. Przykładowa 68, Praga, Praga, Czechy;4;półpension;194;11;20;"basen;wifi"
60;Hotel_Praga_60;Ul. Plażowa 76, Praga, Praga, Czechy;3;śniadania;176;20;21;brak
61;Hotel_Ostrawa_61;Ul. Centralna 135, Ostrawa, Ostrawa, Czechy;3;bez wyżywienia;84;0;9;"basen;siłownia;spa"
62;Hotel_Ostrawa_62;Ul. Plażowa 231, Ostrawa, Ostrawa, Czechy;4;śniadania;126;30;7;"basen;siłownia;spa"
63;Hotel_Ostrawa_63;Ul. Główna 180, Ostrawa, Ostrawa, Czechy;3;półpension;61;48;2;"basen;siłownia;spa"
64;Hotel_Sztokholm_64;Ul. Kwiatowa 91, Sztokholm, Sztokholm, Szwecja;3;śniadania;31;8;0;"basen;wifi"
65;Hotel_Sztokholm_65;Ul. Przykładowa 63, Sztokholm, Sztokholm, Szwecja;5;pełne wyżywienie;8;30;19;"basen;siłownia;spa"
66;Hotel_Sztokholm_66;Ul. Kwiatowa 174, Sztokholm, Sztokholm, Szwecja;4;śniadania;8;41;13;"basen;wifi"
67;Hotel_Gothenburg_67;Ul. Plażowa 36, Gothenburg, Gothenburg, Szwecja;3;półpension;120;20;15;"spa;basen"
68;Hotel_Gothenburg_68;Ul. Centralna 193, Gothenburg, Gothenburg, Szwecja;5;bez wyżywienia;41;27;21;"wifi;parking"
69;Hotel_Oslo_69;Ul. Kwiatowa 200, Oslo, Oslo, Norwegia;2;bez wyżywienia;93;7;30;brak
70;Hotel_Oslo_70;Ul. Przykładowa 62, Oslo, Oslo, Norwegia;4;śniadania;139;12;0;"basen;wifi"
71;Hotel_Oslo_71;Ul. Plażowa 166, Oslo, Oslo, Norwegia;1;bez wyżywienia;171;11;7;"wifi;parking"
72;Hotel_Bergen_72;Ul. Główna 76, Bergen, Bergen, Norwegia;3;bez wyżywienia;64;6;6;brak
73;Hotel_Bergen_73;Ul. Główna 97, Bergen, Bergen, Norwegia;4;bez wyżywienia;133;21;18;brak
74;Hotel_Kopenhaga_74;Ul. Przykładowa 209, Kopenhaga, Kopenhaga, Dania;3;śniadania;98;28;0;"wifi;parking"
75;Hotel_Kopenhaga_75;Ul. Główna 237, Kopenhaga, Kopenhaga, Dania;4;śniadania;199;33;14;brak
76;Hotel_Aarhus_76;Ul. Główna 44, Aarhus, Aarhus, Dania;3;półpension;117;36;14;"basen;wifi"
77;Hotel_Stambuł_77;Ul. Plażowa 168, Stambuł, Stambuł, Turcja;5;bez wyżywienia;148;34;15;"wifi;parking"
78;Hotel_Stambuł_78;Ul. Przykładowa 218, Stambuł, Stambuł, Turcja;3;półpension;130;30;23;"basen;siłownia;spa"
79;Hotel_Antalya_79;Ul. Główna 174, Antalya, Antalya, Turcja;3;pełne wyżywienie;128;22;30;"basen;siłownia;spa"
80;Hotel_Antalya_80;Ul. Przykładowa 273, Antalya, Antalya, Turcja;3;półpension;91;4;3;brak
81;Hotel_Antalya_81;Ul. Plażowa 236, Antalya, Antalya, Turcja;5;bez wyżywienia;192;45;18;"spa;basen"
82;Hotel_Marrakesz_82;Ul. Kwiatowa 125, Marrakesz, Marrakesz, Maroko;5;bez wyżywienia;86;27;26;brak
83;Hotel_Marrakesz_83;Ul. Centralna 50, Marrakesz, Marrakesz, Maroko;5;pełne wyżywienie;191;43;29;brak
84;Hotel_Casablanca_84;Ul. Kwiatowa 20, Casablanca, Casablanca, Maroko;3;śniadania;54;1;9;brak
85;Hotel_Tunis_85;Ul. Kwiatowa 103, Tunis, Tunis, Tunezja;4;pełne wyżywienie;86;21;13;"spa;basen"
86;Hotel_Tunis_86;Ul. Kwiatowa 240, Tunis, Tunis, Tunezja;5;śniadania;64;14;28;"basen;siłownia;spa"
87;Hotel_Tunis_87;Ul. Kwiatowa 228, Tunis, Tunis, Tunezja;5;śniadania;186;29;4;"spa;basen"
88;Hotel_Hammamet_88;Ul. Centralna 181, Hammamet, Hammamet, Tunezja;4;pełne wyżywienie;12;6;5;"spa;basen"
89;Hotel_Hammamet_89;Ul. Główna 62, Hammamet, Hammamet, Tunezja;3;bez wyżywienia;153;21;24;"basen;siłownia;spa"
90;Hotel_Kair_90;Ul. Kwiatowa 198, Kair, Kair, Egipt;3;półpension;118;13;3;"spa;basen"
91;Hotel_Kair_91;Ul. Kwiatowa 285, Kair, Kair, Egipt;3;śniadania;169;17;4;"wifi;parking"
92;Hotel_Hurghada_92;Ul. Centralna 291, Hurghada, Hurghada, Egipt;2;bez wyżywienia;197;1;8;"wifi;parking"
93;Hotel_Nowy Jork_93;Ul. Przykładowa 1, Nowy Jork, Nowy Jork, USA;5;śniadania;196;23;19;"spa;basen"
94;Hotel_Nowy Jork_94;Ul. Główna 33, Nowy Jork, Nowy Jork, USA;5;półpension;61;23;23;"wifi;parking"
95;Hotel_Los Angeles_95;Ul. Plażowa 17, Los Angeles, Los Angeles, USA;3;śniadania;149;36;2;"wifi;parking"
96;Hotel_Los Angeles_96;Ul. Kwiatowa 218, Los Angeles, Los Angeles, USA;5;pełne wyżywienie;137;1;18;"basen;wifi"
97;Hotel_Miami_97;Ul. Kwiatowa 155, Miami, Miami, USA;3;bez wyżywienia;154;45;6;brak
98;Hotel_Miami_98;Ul. Przykładowa 85, Miami, Miami, USA;4;pełne wyżywienie;38;22;29;"spa;basen"
99;Hotel_Miami_99;Ul. Plażowa 220, Miami, Miami, USA;5;bez wyżywienia;191;47;26;"wifi;parking"
100;Hotel_Toronto_100;Ul. Plażowa 44, Toronto, Toronto, Kanada;2;bez wyżywienia;52;34;18;"basen;siłownia;spa"
101;Hotel_Montreal_101;Ul. Centralna 174, Montreal, Montreal, Kanada;5;bez wyżywienia;8;43;10;brak
102;Hotel_Sydney_102;Ul. Plażowa 56, Sydney, Sydney, Australia;2;pełne wyżywienie;197;13;17;"basen;wifi"
103;Hotel_Sydney_103;Ul. Główna 192, Sydney, Sydney, Australia;3;półpension;173;19;12;"basen;siłownia;spa"
104;Hotel_Melbourne_104;Ul. Główna 232, Melbourne, Melbourne, Australia;5;śniadania;96;24;29;"basen;wifi"
105;Hotel_Melbourne_105;Ul. Centralna 291, Melbourne, Melbourne, Australia;5;śniadania;177;6;27;"basen;siłownia;spa"
106;Hotel_Melbourne_106;Ul. Kwiatowa 19, Melbourne, Melbourne, Australia;5;półpension;85;3;6;"spa;basen"
107;Hotel_Tokio_107;Ul. Centralna 109, Tokio, Tokio, Japonia;4;śniadania;172;44;12;"spa;basen"
108;Hotel_Tokio_108;Ul. Przykładowa 195, Tokio, Tokio, Japonia;5;śniadania;11;20;10;brak
109;Hotel_Tokio_109;Ul. Główna 158, Tokio, Tokio, Japonia;3;pełne wyżywienie;100;47;26;"basen;wifi"
110;Hotel_Osaka_110;Ul. Przykładowa 4, Osaka, Osaka, Japonia;4;bez wyżywienia;8;32;3;"basen;wifi"
111;Hotel_Osaka_111;Ul. Centralna 290, Osaka, Osaka, Japonia;5;bez wyżywienia;198;18;26;"basen;wifi"
112;Hotel_Pekin_112;Ul. Przykładowa 223, Pekin, Pekin, Chiny;3;pełne wyżywienie;111;4;29;"wifi;parking"
113;Hotel_Pekin_113;Ul. Centralna 2, Pekin, Pekin, Chiny;4;pełne wyżywienie;9;12;13;"basen;siłownia;spa"
114;Hotel_Pekin_114;Ul. Główna 162, Pekin, Pekin, Chiny;4;pełne wyżywienie;178;19;0;brak
115;Hotel_Szanghaj_115;Ul. Główna 198, Szanghaj, Szanghaj, Chiny;5;półpension;160;46;23;"basen;wifi"
116;Hotel_Mumbaj_116;Ul. Kwiatowa 268, Mumbaj, Mumbaj, Indie;3;bez wyżywienia;7;24;25;"basen;siłownia;spa"
117;Hotel_Delhi_117;Ul. Przykładowa 38, Delhi, Delhi, Indie;3;śniadania;34;40;23;"basen;wifi"
118;Hotel_Delhi_118;Ul. Kwiatowa 78, Delhi, Delhi, Indie;3;półpension;55;41;5;"wifi;parking"
119;Hotel_Dublin_119;Ul. Przykładowa 38, Dublin, Dublin, Irlandia;3;bez wyżywienia;96;5;14;"spa;basen"
120;Hotel_Dublin_120;Ul. Przykładowa 280, Dublin, Dublin, Irlandia;4;półpension;113;7;6;brak
121;Hotel_Dublin_121;Ul. Plażowa 300, Dublin, Dublin, Irlandia;3;półpension;108;23;25;"basen;siłownia;spa"
122;Hotel_Cork_122;Ul. Centralna 202, Cork, Cork, Irlandia;4;śniadania;7;21;27;"basen;wifi"
123;Hotel_Cork_123;Ul. Przykładowa 142, Cork, Cork, Irlandia;4;półpension;134;42;22;brak
124;Hotel_Reykjavik_124;Ul. Przykładowa 45, Reykjavik, Reykjavik, Islandia;3;pełne wyżywienie;109;1;16;"basen;siłownia;spa"
125;Hotel_Reykjavik_125;Ul. Centralna 165, Reykjavik, Reykjavik, Islandia;3;półpension;90;37;30;"spa;basen"
126;Hotel_Akureyri_126;Ul. Kwiatowa 187, Akureyri, Akureyri, Islandia;5;pełne wyżywienie;53;15;13;"basen;siłownia;spa"
127;Hotel_Warszawa_127;Ul. Przykładowa 30, Warszawa, Warszawa, Polska;4;pełne wyżywienie;186;4;16;"basen;wifi"
128;Hotel_Kraków_128;Ul. Plażowa 44, Kraków, Kraków, Polska;3;pełne wyżywienie;159;12;21;"basen;siłownia;spa"
129;Hotel_Kraków_129;Ul. Przykładowa 114, Kraków, Kraków, Polska;3;półpension;142;28;27;"spa;basen"
130;Hotel_Gdańsk_130;Ul. Przykładowa 39, Gdańsk, Gdańsk, Polska;5;śniadania;50;36;4;"basen;wifi"
