IdHotelu;Nazwa;Adres;StandardHotelu;ZakresWyzywienia;LiczbaPokoi2;LiczbaPokoi3;LiczbaPokoi4;Udogodnienie
65;Hotel_Split_65;Ul. Przykladowa 208, Split, Croatia;5;pelne wyzywienie;45;45;19;Usluga pralni i prasowania
66;Hotel_Split_66;Ul. Przykladowa 90, Split, Croatia;5;pelne wyzywienie;5;7;18;Restauracja lub bar hotelowy
67;Hotel_Split_67;Ul. Glowna 148, Split, Croatia;4;bez wyzywienia;117;29;1;Udogodnienia dla osob niepelnosprawnych
68;Hotel_Sofia_68;Ul. Glowna 236, Sofia, Bulgaria;4;pelne wyzywienie;173;8;4;Silownia / centrum fitness
69;Hotel_Sofia_69;Ul. Glowna 284, Sofia, Bulgaria;3;pelne wyzywienie;141;0;19;Udogodnienia dla osob niepelnosprawnych
70;Hotel_Sofia_70;Ul. Kwiatowa 67, Sofia, Bulgaria;3;pelne wyzywienie;94;22;21;Czajnik, kawa i herbata w pokoju
71;Hotel_Sofia_71;Ul. Przykladowa 212, Sofia, Bulgaria;4;bez wyzywienia;140;47;7;Mini bar lub lodowka
72;Hotel_Burgas_72;Ul. Przykladowa 277, Burgas, Bulgaria;3;bez wyzywienia;70;18;19;Bezplatne Wi-Fi
73;Hotel_Burgas_73;Ul. Centralna 264, Burgas, Bulgaria;2;sniadania;166;22;5;Telewizor z serwisami streamingowymi
74;Hotel_Burgas_74;Ul. Plazowa 182, Burgas, Bulgaria;2;bez wyzywienia;85;5;4;Calodobowa recepcja
75;Hotel_Burgas_75;Ul. Glowna 273, Burgas, Bulgaria;3;pelne wyzywienie;80;50;22;Przechowalnia bagazu
76;Hotel_Berlin_76;Ul. Kwiatowa 68, Berlin, Germany;3;pelne wyzywienie;24;35;29;Czajnik, kawa i herbata w pokoju
77;Hotel_Berlin_77;Ul. Plazowa 222, Berlin, Germany;3;sniadania;167;43;28;Telewizor z serwisami streamingowymi
78;Hotel_Berlin_78;Ul. Kwiatowa 254, Berlin, Germany;5;bez wyzywienia;166;26;30;Klimatyzacja w pokojach
79;Hotel_Berlin_79;Ul. Glowna 109, Berlin, Germany;5;sniadania;64;28;21;Obsluga pokojowa (room service)
80;Hotel_Munich_80;Ul. Glowna 204, Munich, Germany;3;bez wyzywienia;159;45;6;Klimatyzacja w pokojach
81;Hotel_Munich_81;Ul. Glowna 296, Munich, Germany;4;polpension;77;40;0;sniadanie w cenie
82;Hotel_Munich_82;Ul. Centralna 82, Munich, Germany;5;sniadania;45;34;12;sniadanie w cenie
83;Hotel_Hamburg_83;Ul. Przykladowa 207, Hamburg, Germany;4;bez wyzywienia;20;39;12;Udogodnienia dla rodzin
84;Hotel_Hamburg_84;Ul. Przykladowa 254, Hamburg, Germany;3;polpension;21;33;0;sniadanie w cenie
85;Hotel_Hamburg_85;Ul. Przykladowa 115, Hamburg, Germany;5;sniadania;97;27;0;Sejf w pokoju lub w recepcji
86;Hotel_Hamburg_86;Ul. Glowna 280, Hamburg, Germany;4;polpension;12;40;22;sniadanie w cenie
87;Hotel_Amsterdam_87;Ul. Kwiatowa 198, Amsterdam, Netherlands;3;bez wyzywienia;169;39;28;Usluga pralni i prasowania
88;Hotel_Amsterdam_88;Ul. Centralna 112, Amsterdam, Netherlands;3;sniadania;132;13;21;Silownia / centrum fitness
89;Hotel_Amsterdam_89;Ul. Kwiatowa 220, Amsterdam, Netherlands;3;bez wyzywienia;14;41;18;Sejf w pokoju lub w recepcji
90;Hotel_Rotterdam_90;Ul. Kwiatowa 68, Rotterdam, Netherlands;3;sniadania;10;40;24;Telewizor z serwisami streamingowymi
91;Hotel_Rotterdam_91;Ul. Plazowa 221, Rotterdam, Netherlands;3;pelne wyzywienie;148;27;24;Transfer z/na lotnisko
92;Hotel_Brussels_92;Ul. Glowna 90, Brussels, Belgium;4;bez wyzywienia;86;41;29;Sejf w pokoju lub w recepcji
93;Hotel_Brussels_93;Ul. Glowna 78, Brussels, Belgium;3;polpension;150;29;13;Centrum biznesowe / sala konferencyjna
94;Hotel_Brussels_94;Ul. Plazowa 233, Brussels, Belgium;5;pelne wyzywienie;80;29;2;Restauracja lub bar hotelowy
95;Hotel_Brussels_95;Ul. Przykladowa 172, Brussels, Belgium;4;bez wyzywienia;150;35;5;Silownia / centrum fitness
96;Hotel_Antwerp_96;Ul. Centralna 220, Antwerp, Belgium;4;pelne wyzywienie;95;23;24;Telewizor z serwisami streamingowymi
97;Hotel_Antwerp_97;Ul. Kwiatowa 87, Antwerp, Belgium;3;pelne wyzywienie;166;33;11;Obsluga pokojowa (room service)
98;Hotel_Zurich_98;Ul. Przykladowa 210, Zurich, Switzerland;5;polpension;45;18;9;Transfer z/na lotnisko
99;Hotel_Zurich_99;Ul. Kwiatowa 49, Zurich, Switzerland;3;pelne wyzywienie;122;33;23;Usluga pralni i prasowania
100;Hotel_Zurich_100;Ul. Glowna 40, Zurich, Switzerland;5;bez wyzywienia;86;31;9;Sejf w pokoju lub w recepcji
101;Hotel_Zurich_101;Ul. Przykladowa 14, Zurich, Switzerland;3;bez wyzywienia;127;10;12;Udogodnienia dla osob niepelnosprawnych
102;Hotel_Geneva_102;Ul. Glowna 128, Geneva, Switzerland;4;pelne wyzywienie;39;22;22;Spa i strefa wellness
103;Hotel_Geneva_103;Ul. Kwiatowa 255, Geneva, Switzerland;3;polpension;51;9;21;Udogodnienia dla osob niepelnosprawnych
104;Hotel_Geneva_104;Ul. Plazowa 82, Geneva, Switzerland;4;polpension;12;3;2;Klimatyzacja w pokojach
105;Hotel_Geneva_105;Ul. Glowna 160, Geneva, Switzerland;4;bez wyzywienia;33;32;22;Calodobowa recepcja
106;Hotel_Geneva_106;Ul. Kwiatowa 249, Geneva, Switzerland;5;pelne wyzywienie;149;13;13;Przechowalnia bagazu
107;Hotel_Vienna_107;Ul. Plazowa 133, Vienna, Austria;3;bez wyzywienia;36;38;26;Parking (bezplatny lub platny)
108;Hotel_Vienna_108;Ul. Plazowa 260, Vienna, Austria;4;sniadania;103;32;19;Spa i strefa wellness
109;Hotel_Vienna_109;Ul. Plazowa 228, Vienna, Austria;3;polpension;151;44;8;Transfer z/na lotnisko
110;Hotel_Vienna_110;Ul. Przykladowa 131, Vienna, Austria;5;sniadania;23;4;16;Udogodnienia dla osob niepelnosprawnych
111;Hotel_Vienna_111;Ul. Centralna 158, Vienna, Austria;2;polpension;84;31;28;Spa i strefa wellness
112;Hotel_Salzburg_112;Ul. Kwiatowa 249, Salzburg, Austria;3;polpension;167;43;2;Calodobowa recepcja
113;Hotel_Salzburg_113;Ul. Kwiatowa 266, Salzburg, Austria;1;polpension;86;29;14;Centrum biznesowe / sala konferencyjna
114;Hotel_Prague_114;Ul. Plazowa 178, Prague, Czech Republic;4;pelne wyzywienie;168;8;16;Sejf w pokoju lub w recepcji
115;Hotel_Prague_115;Ul. Przykladowa 241, Prague, Czech Republic;3;bez wyzywienia;112;45;28;Parking (bezplatny lub platny)
116;Hotel_Ostrava_116;Ul. Przykladowa 170, Ostrava, Czech Republic;4;bez wyzywienia;179;17;12;Sejf w pokoju lub w recepcji
117;Hotel_Ostrava_117;Ul. Plazowa 90, Ostrava, Czech Republic;3;bez wyzywienia;124;33;4;Bezplatne Wi-Fi
118;Hotel_Ostrava_118;Ul. Plazowa 182, Ostrava, Czech Republic;4;bez wyzywienia;40;7;1;Transfer z/na lotnisko
119;Hotel_Ostrava_119;Ul. Plazowa 26, Ostrava, Czech Republic;3;pelne wyzywienie;64;5;30;sniadanie w cenie
120;Hotel_Stockholm_120;Ul. Glowna 118, Stockholm, Sweden;2;bez wyzywienia;35;11;11;Udogodnienia dla osob niepelnosprawnych
121;Hotel_Stockholm_121;Ul. Glowna 71, Stockholm, Sweden;5;bez wyzywienia;40;36;17;Transfer z/na lotnisko
122;Hotel_Stockholm_122;Ul. Plazowa 173, Stockholm, Sweden;3;polpension;168;26;12;Bezplatne Wi-Fi
123;Hotel_Gothenburg_123;Ul. Przykladowa 249, Gothenburg, Sweden;4;bez wyzywienia;59;49;27;Spa i strefa wellness
124;Hotel_Gothenburg_124;Ul. Centralna 158, Gothenburg, Sweden;4;sniadania;111;12;20;Przechowalnia bagazu
125;Hotel_Oslo_125;Ul. Kwiatowa 170, Oslo, Norway;4;polpension;99;39;11;Obsluga pokojowa (room service)
126;Hotel_Oslo_126;Ul. Plazowa 147, Oslo, Norway;4;bez wyzywienia;28;0;27;Bezplatne Wi-Fi
127;Hotel_Oslo_127;Ul. Glowna 39, Oslo, Norway;4;pelne wyzywienie;70;48;4;Udogodnienia dla rodzin
128;Hotel_Oslo_128;Ul. Plazowa 230, Oslo, Norway;3;polpension;14;22;25;Restauracja lub bar hotelowy
129;Hotel_Bergen_129;Ul. Plazowa 256, Bergen, Norway;4;polpension;82;29;13;Transfer z/na lotnisko
130;Hotel_Bergen_130;Ul. Przykladowa 3, Bergen, Norway;5;polpension;149;9;2;Obsluga pokojowa (room service)
131;Hotel_Bergen_131;Ul. Plazowa 113, Bergen, Norway;4;polpension;200;16;13;Calodobowa recepcja
132;Hotel_Copenhagen_132;Ul. Plazowa 157, Copenhagen, Denmark;3;polpension;189;33;14;Restauracja lub bar hotelowy
133;Hotel_Copenhagen_133;Ul. Przykladowa 279, Copenhagen, Denmark;4;pelne wyzywienie;184;22;9;Parking (bezplatny lub platny)
134;Hotel_Copenhagen_134;Ul. Kwiatowa 188, Copenhagen, Denmark;1;pelne wyzywienie;132;25;4;Klimatyzacja w pokojach
135;Hotel_Aarhus_135;Ul. Kwiatowa 41, Aarhus, Denmark;3;sniadania;53;41;10;Obsluga pokojowa (room service)
136;Hotel_Aarhus_136;Ul. Centralna 285, Aarhus, Denmark;3;polpension;100;13;14;Obsluga pokojowa (room service)
137;Hotel_Aarhus_137;Ul. Glowna 156, Aarhus, Denmark;2;bez wyzywienia;91;11;9;sniadanie w cenie
138;Hotel_Istanbul_138;Ul. Centralna 176, Istanbul, Turkey;4;sniadania;67;19;25;Bezplatne Wi-Fi
139;Hotel_Istanbul_139;Ul. Centralna 271, Istanbul, Turkey;3;sniadania;91;37;21;Sejf w pokoju lub w recepcji
140;Hotel_Istanbul_140;Ul. Centralna 140, Istanbul, Turkey;2;pelne wyzywienie;122;1;19;sniadanie w cenie
141;Hotel_Istanbul_141;Ul. Glowna 292, Istanbul, Turkey;3;polpension;110;49;11;Transfer z/na lotnisko
142;Hotel_Istanbul_142;Ul. Centralna 76, Istanbul, Turkey;4;pelne wyzywienie;13;31;16;Przechowalnia bagazu
143;Hotel_Antalya_143;Ul. Glowna 227, Antalya, Turkey;4;pelne wyzywienie;107;0;24;Usluga pralni i prasowania
144;Hotel_Antalya_144;Ul. Glowna 175, Antalya, Turkey;4;sniadania;157;26;28;Calodobowa recepcja
145;Hotel_Antalya_145;Ul. Kwiatowa 117, Antalya, Turkey;5;sniadania;200;38;26;Przechowalnia bagazu
146;Hotel_Antalya_146;Ul. Glowna 284, Antalya, Turkey;5;polpension;64;19;11;Obsluga pokojowa (room service)
147;Hotel_Marrakesh_147;Ul. Centralna 270, Marrakesh, Morocco;4;pelne wyzywienie;120;33;17;Bezplatne Wi-Fi
148;Hotel_Marrakesh_148;Ul. Kwiatowa 40, Marrakesh, Morocco;1;pelne wyzywienie;173;32;27;Mini bar lub lodowka
149;Hotel_Marrakesh_149;Ul. Plazowa 109, Marrakesh, Morocco;3;pelne wyzywienie;98;24;17;Bezplatne Wi-Fi
150;Hotel_Marrakesh_150;Ul. Przykladowa 125, Marrakesh, Morocco;4;polpension;63;27;28;sniadanie w cenie
151;Hotel_Marrakesh_151;Ul. Przykladowa 104, Marrakesh, Morocco;4;bez wyzywienia;146;16;12;Centrum biznesowe / sala konferencyjna
152;Hotel_Casablanca_152;Ul. Plazowa 58, Casablanca, Morocco;5;polpension;18;19;1;Bezplatne Wi-Fi
153;Hotel_Casablanca_153;Ul. Przykladowa 272, Casablanca, Morocco;4;polpension;159;8;26;sniadanie w cenie
154;Hotel_Tunis_154;Ul. Przykladowa 57, Tunis, Tunisia;5;pelne wyzywienie;168;13;14;Usluga pralni i prasowania
155;Hotel_Tunis_155;Ul. Centralna 174, Tunis, Tunisia;3;polpension;61;31;11;Klimatyzacja w pokojach
156;Hotel_Tunis_156;Ul. Glowna 68, Tunis, Tunisia;3;sniadania;74;23;4;Bezplatne Wi-Fi
157;Hotel_Hammamet_157;Ul. Centralna 20, Hammamet, Tunisia;3;polpension;120;5;16;Parking (bezplatny lub platny)
158;Hotel_Hammamet_158;Ul. Centralna 153, Hammamet, Tunisia;3;sniadania;72;0;23;Silownia / centrum fitness
159;Hotel_Hammamet_159;Ul. Centralna 61, Hammamet, Tunisia;3;sniadania;173;34;13;Bezplatne Wi-Fi
160;Hotel_Hammamet_160;Ul. Plazowa 266, Hammamet, Tunisia;3;polpension;30;33;19;Silownia / centrum fitness
161;Hotel_Hammamet_161;Ul. Plazowa 184, Hammamet, Tunisia;4;pelne wyzywienie;164;23;10;Spa i strefa wellness
162;Hotel_Cairo_162;Ul. Kwiatowa 228, Cairo, Egypt;3;pelne wyzywienie;60;3;9;Udogodnienia dla rodzin
163;Hotel_Cairo_163;Ul. Kwiatowa 203, Cairo, Egypt;5;sniadania;125;46;25;Usluga pralni i prasowania
164;Hotel_Cairo_164;Ul. Kwiatowa 200, Cairo, Egypt;3;sniadania;48;43;28;Transfer z/na lotnisko
165;Hotel_Hurghada_165;Ul. Przykladowa 96, Hurghada, Egypt;4;pelne wyzywienie;26;17;23;Czajnik, kawa i herbata w pokoju
166;Hotel_Hurghada_166;Ul. Glowna 148, Hurghada, Egypt;3;polpension;164;0;16;Usluga pralni i prasowania
167;Hotel_Hurghada_167;Ul. Centralna 233, Hurghada, Egypt;5;polpension;161;7;20;Basen (kryty lub odkryty)
168;Hotel_Hurghada_168;Ul. Glowna 119, Hurghada, Egypt;1;bez wyzywienia;178;49;8;Centrum biznesowe / sala konferencyjna
169;Hotel_Hurghada_169;Ul. Plazowa 67, Hurghada, Egypt;3;pelne wyzywienie;185;27;17;Klimatyzacja w pokojach
170;Hotel_New York_170;Ul. Glowna 293, New York, USA;5;bez wyzywienia;39;35;26;Usluga pralni i prasowania
171;Hotel_New York_171;Ul. Przykladowa 287, New York, USA;3;bez wyzywienia;64;12;26;Usluga pralni i prasowania
172;Hotel_Los Angeles_172;Ul. Kwiatowa 97, Los Angeles, USA;3;sniadania;62;20;18;Mini bar lub lodowka
173;Hotel_Los Angeles_173;Ul. Kwiatowa 92, Los Angeles, USA;4;sniadania;131;48;2;Sejf w pokoju lub w recepcji
174;Hotel_Miami_174;Ul. Przykladowa 233, Miami, USA;3;polpension;147;48;0;Silownia / centrum fitness
175;Hotel_Miami_175;Ul. Plazowa 244, Miami, USA;3;pelne wyzywienie;157;29;19;sniadanie w cenie
176;Hotel_Toronto_176;Ul. Plazowa 116, Toronto, Canada;3;pelne wyzywienie;37;9;16;Klimatyzacja w pokojach
177;Hotel_Toronto_177;Ul. Glowna 86, Toronto, Canada;3;polpension;54;20;3;Klimatyzacja w pokojach
178;Hotel_Toronto_178;Ul. Centralna 160, Toronto, Canada;5;polpension;92;25;24;Mini bar lub lodowka
179;Hotel_Montreal_179;Ul. Plazowa 169, Montreal, Canada;4;pelne wyzywienie;166;17;11;Silownia / centrum fitness
180;Hotel_Montreal_180;Ul. Centralna 70, Montreal, Canada;4;sniadania;70;29;29;Telewizor z serwisami streamingowymi
181;Hotel_Montreal_181;Ul. Plazowa 260, Montreal, Canada;4;sniadania;106;27;8;Bezplatne Wi-Fi
182;Hotel_Montreal_182;Ul. Plazowa 183, Montreal, Canada;3;sniadania;195;1;2;Sejf w pokoju lub w recepcji
183;Hotel_Montreal_183;Ul. Przykladowa 194, Montreal, Canada;3;bez wyzywienia;123;40;19;Bezplatne Wi-Fi
184;Hotel_Sydney_184;Ul. Glowna 218, Sydney, Australia;5;polpension;103;37;6;Obsluga pokojowa (room service)
185;Hotel_Sydney_185;Ul. Centralna 218, Sydney, Australia;3;polpension;58;3;0;Przechowalnia bagazu
186;Hotel_Melbourne_186;Ul. Glowna 24, Melbourne, Australia;5;pelne wyzywienie;141;1;23;Obsluga pokojowa (room service)
187;Hotel_Melbourne_187;Ul. Centralna 253, Melbourne, Australia;4;sniadania;157;37;1;Mini bar lub lodowka
188;Hotel_Melbourne_188;Ul. Przykladowa 66, Melbourne, Australia;4;pelne wyzywienie;59;21;10;Restauracja lub bar hotelowy
189;Hotel_Melbourne_189;Ul. Przykladowa 197, Melbourne, Australia;5;bez wyzywienia;113;40;5;Bezplatne Wi-Fi
190;Hotel_Melbourne_190;Ul. Plazowa 279, Melbourne, Australia;3;sniadania;61;6;17;Czajnik, kawa i herbata w pokoju
191;Hotel_Tokyo_191;Ul. Centralna 295, Tokyo, Japan;5;pelne wyzywienie;16;28;29;Klimatyzacja w pokojach
192;Hotel_Tokyo_192;Ul. Centralna 6, Tokyo, Japan;4;sniadania;146;29;5;Silownia / centrum fitness
193;Hotel_Tokyo_193;Ul. Plazowa 292, Tokyo, Japan;3;pelne wyzywienie;33;39;13;Przechowalnia bagazu
194;Hotel_Tokyo_194;Ul. Centralna 110, Tokyo, Japan;4;polpension;21;42;24;sniadanie w cenie
195;Hotel_Osaka_195;Ul. Przykladowa 214, Osaka, Japan;4;bez wyzywienia;150;20;8;Calodobowa recepcja
196;Hotel_Osaka_196;Ul. Centralna 133, Osaka, Japan;5;polpension;59;15;3;Obsluga pokojowa (room service)
197;Hotel_Osaka_197;Ul. Glowna 94, Osaka, Japan;4;pelne wyzywienie;63;29;13;Sejf w pokoju lub w recepcji
198;Hotel_Osaka_198;Ul. Glowna 92, Osaka, Japan;5;bez wyzywienia;119;21;21;Udogodnienia dla rodzin
199;Hotel_Beijing_199;Ul. Przykladowa 71, Beijing, China;4;polpension;49;48;30;Przechowalnia bagazu
200;Hotel_Beijing_200;Ul. Kwiatowa 241, Beijing, China;5;polpension;139;38;5;Usluga pralni i prasowania
201;Hotel_Shanghai_201;Ul. Centralna 149, Shanghai, China;3;pelne wyzywienie;95;46;20;Obsluga pokojowa (room service)
202;Hotel_Shanghai_202;Ul. Plazowa 180, Shanghai, China;3;polpension;96;29;15;Centrum biznesowe / sala konferencyjna
203;Hotel_Shanghai_203;Ul. Kwiatowa 124, Shanghai, China;4;sniadania;176;20;6;Mini bar lub lodowka
204;Hotel_Shanghai_204;Ul. Glowna 58, Shanghai, China;3;pelne wyzywienie;151;43;19;Calodobowa recepcja
205;Hotel_Shanghai_205;Ul. Kwiatowa 237, Shanghai, China;3;polpension;194;30;28;Centrum biznesowe / sala konferencyjna
206;Hotel_Mumbai_206;Ul. Plazowa 213, Mumbai, India;2;polpension;128;40;19;Klimatyzacja w pokojach
207;Hotel_Mumbai_207;Ul. Kwiatowa 289, Mumbai, India;4;bez wyzywienia;116;43;22;Klimatyzacja w pokojach
208;Hotel_Mumbai_208;Ul. Centralna 300, Mumbai, India;4;polpension;49;49;22;Calodobowa recepcja
209;Hotel_Mumbai_209;Ul. Centralna 37, Mumbai, India;3;sniadania;158;42;5;Przechowalnia bagazu
210;Hotel_Delhi_210;Ul. Glowna 8, Delhi, India;5;pelne wyzywienie;158;50;13;Udogodnienia dla osob niepelnosprawnych
211;Hotel_Delhi_211;Ul. Kwiatowa 61, Delhi, India;5;polpension;7;24;29;Czajnik, kawa i herbata w pokoju
